Online Status,image,accession_no,accession_year,title,region,creator,year_period,time_category,object_type,technique,material,description,dimension,credit_line,collection_of,item_id,item_url
On Roots,https://www.roots.gov.sg/CollectionImages/1164024.jpg,2008-04762,2008,Sentosa cable cars travelling between Mount Faber and Jardine Steps stations,Singapore,,Mid 1970s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.A cable car service connecting Sentosa to the mainland was officially opened in 1974 by then Deputy Prime Minister Dr. Goh Keng Swee. Built at a cost of $5.8 million, the cable cars were an instant hit with 1,000 visitors using the service the day after it opened. The loop service started at the Mount Faber station, passed the main station at Jardine Steps, and crossed the waterway to end at the Carlton Hill station on Sentosa.In 1983, tragedy struck when two cable cars plunged into the sea after the cable line was struck by the oil drilling vessel Eniwetok. The safety features of the service were improved following the incident.",Object size: 10.7 x 14.9 cm,,National Museum of Singapore,1164024,https://www.roots.gov.sg/Collection-Landing/listing/1164024
On Roots,https://www.roots.gov.sg/CollectionImages/1163611.jpg,2008-04763,2008,Sentosa cable cars travelling between Mount Faber and Jardine Steps stations,Singapore,,Mid 1970s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.A cable car service connecting Sentosa to the mainland was officially opened in 1974 by then Deputy Prime Minister Dr. Goh Keng Swee. Built at a cost of $5.8 million, the cable cars were an instant hit with 1,000 visitors using the service the day after it opened. The loop service started at the Mount Faber station, passed the main station at Jardine Steps, and crossed the waterway to end at the Carlton Hill station on Sentosa.In 1983, tragedy struck when two cable cars plunged into the sea after the cable line was struck by the oil drilling vessel Eniwetok. The safety features of the service were improved following the incident.",Object size: 10.3 x 14.7 cm,,National Museum of Singapore,1163611,https://www.roots.gov.sg/Collection-Landing/listing/1163611
On Roots,https://www.roots.gov.sg/CollectionImages/1162138.jpg,2008-04759,2008,Sentosa cable cars travelling between Mount Faber and Jardine Steps stations,Singapore,,Mid 1970s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.A cable car service connecting Sentosa to the mainland was officially opened in 1974 by then Deputy Prime Minister Dr. Goh Keng Swee. Built at a cost of $5.8 million, the cable cars were an instant hit with 1,000 visitors using the service the day after it opened. The loop service started at the Mount Faber station, passed the main station at Jardine Steps, and crossed the waterway to end at the Carlton Hill station on Sentosa.In 1983, tragedy struck when two cable cars plunged into the sea after the cable line was struck by the oil drilling vessel Eniwetok. The safety features of the service were improved following the incident.",Object size: 10.2 x 14.3 cm,,National Museum of Singapore,1162138,https://www.roots.gov.sg/Collection-Landing/listing/1162138
On Roots,https://www.roots.gov.sg/CollectionImages/1164753.jpg,2008-04755,2008,Sentosa cable cars and Carlton Hill station,Singapore,,Mid 1970s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.A cable car service connecting Sentosa to the mainland was officially opened in 1974 by then Deputy Prime Minister Dr. Goh Keng Swee. Built at a cost of $5.8 million, the cable cars were an instant hit with 1,000 visitors using the service the day after it opened. The loop service started at the Mount Faber station, passed the main station at Jardine Steps, and crossed the waterway to end at the Carlton Hill station on Sentosa.In 1983, tragedy struck when two cable cars plunged into the sea after the cable line was struck by the oil drilling vessel Eniwetok. The safety features of the service were improved following the incident.",Object size: 10.1 x 14.9 cm,,National Museum of Singapore,1164753,https://www.roots.gov.sg/Collection-Landing/listing/1164753
On Roots,https://www.roots.gov.sg/CollectionImages/1159236.jpg,2008-05061,2008,Sentosa cable cars travelling across the island,Singapore,,Mid 1970s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.A cable car service connecting Sentosa to the mainland was officially opened in 1974 by then Deputy Prime Minister Dr. Goh Keng Swee. Built at a cost of $5.8 million, the cable cars were an instant hit with 1,000 visitors using the service the day after it opened. The loop service started at the Mount Faber station, passed the main station at Jardine Steps, and crossed the waterway to end at the Carlton Hill station on Sentosa.In 1983, tragedy struck when two cable cars plunged into the sea after the cable line was struck by the oil drilling vessel Eniwetok. The safety features of the service were improved following the incident.",Object size: 10.4 x 14.7 cm,,National Museum of Singapore,1159236,https://www.roots.gov.sg/Collection-Landing/listing/1159236
On Roots,https://www.roots.gov.sg/CollectionImages/1159834.jpg,2008-05057,2008,Sentosa cable cars travelling between Mount Faber and Jardine Steps stations,Singapore,,Mid 1970s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.A cable car service connecting Sentosa to the mainland was officially opened in 1974 by then Deputy Prime Minister Dr. Goh Keng Swee. Built at a cost of $5.8 million, the cable cars were an instant hit with 1,000 visitors using the service the day after it opened. The loop service started at the Mount Faber station, passed the main station at Jardine Steps, and crossed the waterway to end at the Carlton Hill station on Sentosa.In 1983, tragedy struck when two cable cars plunged into the sea after the cable line was struck by the oil drilling vessel Eniwetok. The safety features of the service were improved following the incident.",Object size: 10.4 x 14.6 cm,,National Museum of Singapore,1159834,https://www.roots.gov.sg/Collection-Landing/listing/1159834
On Roots,https://www.roots.gov.sg/CollectionImages/1161166.jpg,2008-04757,2008,Sentosa cable cars travelling between Mount Faber and Jardine Steps stations,Singapore,,Mid 1970s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.A cable car service connecting Sentosa to the mainland was officially opened in 1974 by then Deputy Prime Minister Dr. Goh Keng Swee. Built at a cost of $5.8 million, the cable cars were an instant hit with 1,000 visitors using the service the day after it opened. The loop service started at the Mount Faber station, passed the main station at Jardine Steps, and crossed the waterway to end at the Carlton Hill station on Sentosa.In 1983, tragedy struck when two cable cars plunged into the sea after the cable line was struck by the oil drilling vessel Eniwetok. The safety features of the service were improved following the incident.",Object size: 10.2 x 14.2 cm,,National Museum of Singapore,1161166,https://www.roots.gov.sg/Collection-Landing/listing/1161166
On Roots,https://www.roots.gov.sg/CollectionImages/1145595.jpg,2008-05049,2008,Sentosa cable cars crossing the waters,Singapore,,Mid 1970s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.A cable car service connecting Sentosa to the mainland was officially opened in 1974 by then Deputy Prime Minister Dr. Goh Keng Swee. Built at a cost of $5.8 million, the cable cars were an instant hit with 1,000 visitors using the service the day after it opened. The loop service started at the Mount Faber station, passed the main station at Jardine Steps, and crossed the waterway to end at the Carlton Hill station on Sentosa.In 1983, tragedy struck when two cable cars plunged into the sea after the cable line was struck by the oil drilling vessel Eniwetok. The safety features of the service were improved following the incident.",Object size: 10.2 x 14.9 cm,,National Museum of Singapore,1145595,https://www.roots.gov.sg/Collection-Landing/listing/1145595
On Roots,https://www.roots.gov.sg/CollectionImages/1160628.jpg,2008-04761,2008,Sentosa cable cars travelling between Mount Faber and Jardine Steps stations,Singapore,,Mid 1970s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.A cable car service connecting Sentosa to the mainland was officially opened in 1974 by then Deputy Prime Minister Dr. Goh Keng Swee. Built at a cost of $5.8 million, the cable cars were an instant hit with 1,000 visitors using the service the day after it opened. The loop service started at the Mount Faber station, passed the main station at Jardine Steps, and crossed the waterway to end at the Carlton Hill station on Sentosa.In 1983, tragedy struck when two cable cars plunged into the sea after the cable line was struck by the oil drilling vessel Eniwetok. The safety features of the service were improved following the incident.",Object size: 8.9 x 13.9 cm,,National Museum of Singapore,1160628,https://www.roots.gov.sg/Collection-Landing/listing/1160628
On Roots,https://www.roots.gov.sg/CollectionImages/1163939.jpg,2008-04756,2008,Sentosa cable cars and Carlton Hill station,Singapore,,Mid 1970s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.A cable car service connecting Sentosa to the mainland was officially opened in 1974 by then Deputy Prime Minister Dr. Goh Keng Swee. Built at a cost of $5.8 million, the cable cars were an instant hit with 1,000 visitors using the service the day after it opened. The loop service started at the Mount Faber station, passed the main station at Jardine Steps, and crossed the waterway to end at the Carlton Hill station on Sentosa.In 1983, tragedy struck when two cable cars plunged into the sea after the cable line was struck by the oil drilling vessel Eniwetok. The safety features of the service were improved following the incident.",Object size: 10.2 x 15.3 cm,,National Museum of Singapore,1163939,https://www.roots.gov.sg/Collection-Landing/listing/1163939
On Roots,https://www.roots.gov.sg/CollectionImages/1164961.jpg,2008-04760,2008,Sentosa cable cars with view of city skyline,Singapore,,Mid 1970s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.A cable car service connecting Sentosa to the mainland was officially opened in 1974 by then Deputy Prime Minister Dr. Goh Keng Swee. Built at a cost of $5.8 million, the cable cars were an instant hit with 1,000 visitors using the service the day after it opened. The loop service started at the Mount Faber station, passed the main station at Jardine Steps, and crossed the waterway to end at the Carlton Hill station on Sentosa.In 1983, tragedy struck when two cable cars plunged into the sea after the cable line was struck by the oil drilling vessel Eniwetok. The safety features of the service were improved following the incident.",Object size: 10.1 x 14.9 cm,,National Museum of Singapore,1164961,https://www.roots.gov.sg/Collection-Landing/listing/1164961
On Roots,https://www.roots.gov.sg/CollectionImages/1157989.jpg,2008-05055,2008,Sentosa cable cars travelling between Mount Faber and Jardine Steps stations,Singapore,,Mid 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.A cable car service connecting Sentosa to the mainland was officially opened in 1974 by then Deputy Prime Minister Dr. Goh Keng Swee. Built at a cost of $5.8 million, the cable cars were an instant hit with 1,000 visitors using the service the day after it opened. The loop service started at the Mount Faber station, passed the main station at Jardine Steps, and crossed the waterway to end at the Carlton Hill station on Sentosa.In 1983, tragedy struck when two cable cars plunged into the sea after the cable line was struck by the oil drilling vessel Eniwetok. The safety features of the service were improved following the incident.",Object size: 10.2 x 14.8 cm,,National Museum of Singapore,1157989,https://www.roots.gov.sg/Collection-Landing/listing/1157989
On Roots,https://www.roots.gov.sg/CollectionImages/1159443.jpg,2008-05056,2008,Sentosa cable cars travelling between Carlton Hill and Jardine Steps stations,Singapore,,Mid 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.A cable car service connecting Sentosa to the mainland was officially opened in 1974 by then Deputy Prime Minister Dr. Goh Keng Swee. Built at a cost of $5.8 million, the cable cars were an instant hit with 1,000 visitors using the service the day after it opened. The loop service started at the Mount Faber station, passed the main station at Jardine Steps, and crossed the waterway to end at the Carlton Hill station on Sentosa.In 1983, tragedy struck when two cable cars plunged into the sea after the cable line was struck by the oil drilling vessel Eniwetok. The safety features of the service were improved following the incident.",Object size: 10.3 x 14.7 cm,,National Museum of Singapore,1159443,https://www.roots.gov.sg/Collection-Landing/listing/1159443
On Roots,https://www.roots.gov.sg/CollectionImages/1146908.jpg,2008-05047,2008,Sentosa cable cars with night-time view of city skyline,Singapore,,Mid 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.A cable car service connecting Sentosa to the mainland was officially opened in 1974 by then Deputy Prime Minister Dr. Goh Keng Swee. Built at a cost of $5.8 million, the cable cars were an instant hit with 1,000 visitors using the service the day after it opened. The loop service started at the Mount Faber station, passed the main station at Jardine Steps, and crossed the waterway to end at the Carlton Hill station on Sentosa.In 1983, tragedy struck when two cable cars plunged into the sea after the cable line was struck by the oil drilling vessel Eniwetok. The safety features of the service were improved following the incident.",Object size: 9 x 14.7 cm,,National Museum of Singapore,1146908,https://www.roots.gov.sg/Collection-Landing/listing/1146908
On Roots,https://www.roots.gov.sg/CollectionImages/1157155.jpg,2008-05054,2008,Sentosa cable cars travelling between Carlton Hill and Jardine Steps stations,Singapore,,Mid 1980s,20th century (late),,,,"Located off the southern coast of mainland Singapore, Sentosa (Isle of Tranquillity) was initially known as Pulau Blakang Mati (Island Behind Death). Starting from the 1880s, the island was an important British military base with a number of forts built on it to protect the southern shipping lanes. In 1970, the island was renamed Sentosa following a naming contest organised by the Singapore Tourist Promotion Board (STPB). The development of the island into a tourist and recreation resort came under the management of the Sentosa Development Corporation (SDC), which was formed in 1972.A cable car service connecting Sentosa to the mainland was officially opened in 1974 by then Deputy Prime Minister Dr. Goh Keng Swee. Built at a cost of $5.8 million, the cable cars were an instant hit with 1,000 visitors using the service the day after it opened. The loop service started at the Mount Faber station, passed the main station at Jardine Steps, and crossed the waterway to end at the Carlton Hill station on Sentosa.In 1983, tragedy struck when two cable cars plunged into the sea after the cable line was struck by the oil drilling vessel Eniwetok. The safety features of the service were improved following the incident.",Object size: 10.6 x 15 cm,,National Museum of Singapore,1157155,https://www.roots.gov.sg/Collection-Landing/listing/1157155
